State,Trump,ElectoralVotes, Population
Alabama,1,9,4.779736e6
Alaska,1,3,710231.0
Arizona,1,11,6.392017e6
Arkansas,1,6,2.915918e6
California,0,55,3.7253956e7
Colorado,1,9,5.029196e6
Connecticut,1,7,3.574097e6
D.C.,1,3,601723.0
Delaware,1,3,897934.0
Florida,0,29,1.880131e7
Georgia,0,16,9.687653e6
Hawaii,1,4,1.360301e6
Idaho,1,4,1.567582e6
Illinois,0,20,1.2830632e7
Indiana,1,11,6.483802e6
Iowa,1,6,3.046355e6
Kansas,1,6,2.853118e6
Kentucky,1,8,4.339367e6
Louisiana,1,8,4.533372e6
Maine,1,4,1.328361e6
Maryland,1,10,5.773552e6
Massachusetts,1,11,6.547629e6
Michigan,0,16,9.88364e6
Minnesota,1,10,5.303925e6
Mississippi,1,6,2.967297e6
Missouri,1,10,5.988927e6
Montana,1,3,989415.0
Nebraska,1,5,1.826341e6
Nevada,1,6,2.700551e6
New Hampshire,1,4,1.31647e6
New Jersey,0,14,8.791894e6
New Mexico,1,5,2.059179e6
New York,0,29,1.9378102e7
North Carolina,1,15,9.535483e6
North Dakota,1,3,672591.0
Ohio,0,18,1.1536504e7
Oklahoma,1,7,3.751351e6
Oregon,1,7,3.831074e6
Pennsylvania,0,20,1.2702379e7
Rhode Island,1,4,1.052567e6
South Carolina,1,9,4.625364e6
South Dakota,1,3,814180.0
Tennessee,1,11,6.346105e6
Texas,0,38,2.5145561e7
Utah,1,6,2.763885e6
Vermont,1,3,625741.0
Virginia,0,13,8.001024e6
Washington,1,12,6.72454e6
West Virginia,1,5,1.852994e6
Wisconsin,1,10,5.686986e6
Wyoming,1,3,563626.0
