State,ElectoralVotes,Population
Alabama,9,4779736.00
Alaska,3,710231.00
Arizona,11,6392017.00
Arkansas,6,2915918.00
California,55,37253956.00
Colorado,9,5029196.00
Connecticut,7,3574097.00
D.C.,3,601723.00
Delaware,3,897934.00
Florida,29,18801310.00
Georgia,16,9687653.00
Hawaii,4,1360301.00
Idaho,4,1567582.00
Illinois,20,12830632.00
Indiana,11,6483802.00
Iowa,6,3046355.00
Kansas,6,2853118.00
Kentucky,8,4339367.00
Louisiana,8,4533372.00
Maine,4,1328361.00
Maryland,10,5773552.00
Massachusetts,11,6547629.00
Michigan,16,9883640.00
Minnesota,10,5303925.00
Mississippi,6,2967297.00
Missouri,10,5988927.00
Montana,3,989415.00
Nebraska,5,1826341.00
Nevada,6,2700551.00
New Hampshire,4,1316470.00
New Jersey,14,8791894.00
New Mexico,5,2059179.00
New York,29,19378102.00
North Carolina,15,9535483.00
North Dakota,3,672591.00
Ohio,18,11536504.00
Oklahoma,7,3751351.00
Oregon,7,3831074.00
Pennsylvania,20,12702379.00
Rhode Island,4,1052567.00
South Carolina,9,4625364.00
South Dakota,3,814180.00
Tennessee,11,6346105.00
Texas,38,25145561.00
Utah,6,2763885.00
Vermont,3,625741.00
Virginia,13,8001024.00
Washington,12,6724540.00
West Virginia,5,1852994.00
Wisconsin,10,5686986.00
Wyoming,3,563626.00
